_id,word,translate,tags,picture
1,antelope,une antilope,animal,c10/antelope.jpg
2,ant,une fourmi,animal,c10/ant.jpg
3,baboon,un babouin,animal,c10/baboon.jpg
4,bat,une chauve-souris ,animal,c10/bat.jpg
5,butterfly,un papillon,animal,c10/butterfly.jpg
6,calf,un veau,animal,c10/calf.jpg
7,camel,un chameau,animal,c10/camel.jpg
8,cat,un chat,animal,c10/cat.jpg
9,chameleon,un chaméléon,animal,c10/chameleon.jpg
10,coucal,un coucal,animal,c10/coucal_bird.jpg
11,crocodile,un crocodile,animal,c10/crocodile.jpg
12,dog,un chien,animal,c10/dog.jpg
13,donkey,un âne,animal,c10/donkey.jpg
14,duck,un canard,animal,c10/duck.jpg
15,eagle,un aigle,animal,c10/eagle.jpg
16,egret,une aigrette,animal,c10/egret.jpg
17,elephant,un éléphant,animal,c10/elephant.jpg
18,fish,un poisson,animal,c10/fish.jpg
19,goat,une chèvre,animal,c10/goat.jpg
20,grasshopper,une sauterelle,animal,c10/grasshopper.jpg
21,hawk,un faucon,animal,c10/hawk.jpg
22,hen,une poule,animal,c10/hen.jpg
23,hippopotamus,un hippopotame,animal,c10/hippopotamus.jpg
24,horse,un cheval,animal,c10/horse.jpg
25,hyena,une hyène,animal,c10/hyena.jpg
26,kingfisher,un martin-pêcheur,animal,c10/kingfisher.jpg
27,lion,un lézard,animal,c10/lion.jpg
28,lizard,un lézard,animal,c10/lizard.jpg
29,monkey,un singe,animal,c10/monkey.jpg
30,owl,un hibou,animal,c10/owl.jpg
31,parrot,un perroquet,animal,c10/parrot.jpg
32,pigeon,un pigeon,animal,c10/pigeon.jpg
33,rabbit,un lièvre,animal,c10/rabbit.jpg
34,scorpion,un mouton,animal,c10/scorpion.jpg
35,sheep,un mouton,animal,c10/sheep.jpg
36,snake,un serpent,animal,c10/snake.jpg
37,spider,une araignée,animal,c10/spider.jpg
38,toad,un crapaud,animal,c10/toad.jpg
39,vulture,un vautour,animal,c10/vulture.jpg
40,warthog,un phacochère,animal,c10/warthog.jpg
41,ostrich,une autruche,animal,c10/ostrich.jpg
42,tiger,un tigre,animal,c10/tiger.jpg
43,newt,un triton,animal,c10/newt.jpg
