_id,word,translate,tags,picture
1,antelope,die Antilope,animal,c10/antelope.jpg
2,ant,die Ameise,animal,c10/ant.jpg
3,baboon,der Pavian,animal,c10/baboon.jpg
4,bat,die Fledermaus,animal,c10/bat.jpg
5,butterfly,der Schmetterling,animal,c10/butterfly.jpg
6,calf,das Kalb,animal,c10/calf.jpg
7,camel,das Kamel,animal,c10/camel.jpg
8,cat,die Katze,animal,c10/cat.jpg
9,chameleon,das Chamäleon,animal,c10/chameleon.jpg
10,coucal,der Kuckuck,animal,c10/coucal_bird.jpg
11,crocodile,das Krokodil,animal,c10/crocodile.jpg
12,dog,der Hund,animal,c10/dog.jpg
13,donkey,der Esel,animal,c10/donkey.jpg
14,duck,die Ente,animal,c10/duck.jpg
15,eagle,der Adler,animal,c10/eagle.jpg
16,egret,der Reiher,animal,c10/egret.jpg
17,elephant,der Elephant,animal,c10/elephant.jpg
18,fish,der Fisch,animal,c10/fish.jpg
19,goat,die Ziege,animal,c10/goat.jpg
20,grasshopper,die Heuschrecke,animal,c10/grasshopper.jpg
21,hawk,der Habicht,animal,c10/hawk.jpg
22,hen,die Henne,animal,c10/hen.jpg
23,hippopotamus,das Nilpferd,animal,c10/hippopotamus.jpg
24,horse,das Pferd,animal,c10/horse.jpg
25,hyena,die Hyäne,animal,c10/hyena.jpg
26,kingfisher,der Eisvogel,animal,c10/kingfisher.jpg
27,lion,der Löwe,animal,c10/lion.jpg
28,lizard,die Eidechse,animal,c10/lizard.jpg
29,monkey,der Affe,animal,c10/monkey.jpg
30,owl,die Eule,animal,c10/owl.jpg
31,parrot,der Papagei,animal,c10/parrot.jpg
32,pigeon,die Taube,animal,c10/pigeon.jpg
33,rabbit,der Hase,animal,c10/rabbit.jpg
34,scorpion,der Skorphion,animal,c10/scorpion.jpg
35,sheep,das Schaf,animal,c10/sheep.jpg
36,snake,die Schlange,animal,c10/snake.jpg
37,spider,die Spinne,animal,c10/spider.jpg
38,toad,die Kröte,animal,c10/toad.jpg
39,vulture,der Geier,animal,c10/vulture.jpg
40,warthog,das Warzenschwein,animal,c10/warthog.jpg
41,ostrich,der Strauss,animal,c10/ostrich.jpg
42,tiger,der Tiger,animal,c10/tiger.jpg
43,newt,der Molch,animal,c10/newt.jpg
